2020/10/22 15:39:03 Simple-HTTP v0.5.0 started to serve '.' folder on port: 8082
2020/10/22 17:54:12 Elapsed time 298.356µs 	     GET 	 /
2020/10/22 17:54:12 Elapsed time 192.357µs 	     GET 	 /style.css
2020/10/22 17:54:12 Elapsed time 45.556µs 	     GET 	 /favicon.ico
2020/10/22 17:55:20 Elapsed time 355.699µs 	     GET 	 /
2020/10/22 17:55:20 Elapsed time 353.849µs 	     GET 	 /style.css
2020/10/22 17:55:20 Elapsed time 31.615µs 	     GET 	 /favicon.ico
2020/10/22 18:50:37 Elapsed time 7.444557ms 	     GET 	 /
2020/10/22 18:50:37 Elapsed time 661.247µs 	     GET 	 /style.css
2020/10/22 18:50:37 Elapsed time 43.255µs 	     GET 	 /favicon.ico
2020/10/22 18:51:31 Elapsed time 5.716787ms 	     GET 	 /
2020/10/22 18:51:48 Elapsed time 160.416µs 	     GET 	 /
2020/10/22 18:52:16 Elapsed time 111.639µs 	     GET 	 /
2020/10/22 18:52:35 Elapsed time 137.605µs 	     GET 	 /
2020/10/22 18:53:04 Elapsed time 155.908µs 	     GET 	 /
2020/10/22 18:54:59 Elapsed time 137.96µs 	     GET 	 /
2020/10/22 18:55:08 Elapsed time 116.828µs 	     GET 	 /
2020/10/22 18:55:09 Elapsed time 121.048µs 	     GET 	 /
2020/10/22 18:55:27 Simple-HTTP v0.5.0 started to serve 'public/' folder on port: 8082
2020/10/22 18:55:36 Elapsed time 211.891µs 	     GET 	 /
2020/10/22 18:55:37 Elapsed time 144.508µs 	     GET 	 /
2020/10/22 19:12:26 Simple-HTTP v0.5.0 started to serve 'public/' folder on port: 8082
2020/10/22 19:14:18 Elapsed time 20.671788ms 	     GET 	 /
2020/10/22 19:14:18 Elapsed time 1.026481ms 	     GET 	 /style.css
2020/10/22 19:14:18 Elapsed time 59.281µs 	     GET 	 /favicon.ico
2020/10/22 19:15:33 Elapsed time 1.442504ms 	     GET 	 /
2020/10/22 19:15:33 Elapsed time 1.604581ms 	     GET 	 /style.css
2020/10/22 19:15:33 Elapsed time 28.351µs 	     GET 	 /favicon.ico
2020/10/22 19:21:45 Elapsed time 4.174847ms 	     GET 	 /
2020/10/22 19:21:45 Elapsed time 710.799µs 	     GET 	 /style.css
2020/10/22 19:21:45 Elapsed time 62.023µs 	     GET 	 /favicon.ico
2020/10/22 19:28:49 Elapsed time 401.846µs 	     GET 	 /
2020/10/22 19:28:49 Elapsed time 752.78µs 	     GET 	 /style.css
2020/10/22 19:28:49 Elapsed time 49.753µs 	     GET 	 /favicon.ico
2020/10/22 19:29:02 Elapsed time 916.366µs 	     GET 	 /
2020/10/22 19:29:03 Elapsed time 189.764µs 	     GET 	 /style.css
2020/10/22 19:29:03 Elapsed time 72.071µs 	     GET 	 /favicon.ico
2020/10/22 19:31:22 Elapsed time 2.718788ms 	     GET 	 /
2020/10/22 19:31:22 Elapsed time 2.502989ms 	     GET 	 /style.css
2020/10/22 19:31:22 Elapsed time 52.053µs 	     GET 	 /favicon.ico
2020/10/22 19:31:27 Elapsed time 226.664µs 	     GET 	 /Private/1Password.html
2020/10/22 19:31:27 Elapsed time 165.108µs 	     GET 	 /style.css
2020/10/22 19:31:27 Elapsed time 72.763µs 	     GET 	 /favicon.ico
2020/10/22 19:33:51 Elapsed time 51.267928ms 	     GET 	 /
2020/10/22 19:33:51 Elapsed time 1.811947ms 	     GET 	 /style.css
2020/10/22 19:33:51 Elapsed time 57.51µs 	     GET 	 /favicon.ico
2020/10/22 19:34:06 Elapsed time 2.921091ms 	     GET 	 /
2020/10/22 19:34:06 Elapsed time 794.806µs 	     GET 	 /style.css
2020/10/22 19:34:06 Elapsed time 44.636µs 	     GET 	 /favicon.ico
2020/10/22 21:06:13 Simple-HTTP v0.5.0 started to serve 'public' folder on port: 8082
2020/10/22 21:06:21 Elapsed time 7.941276ms 	     GET 	 /
2020/10/22 21:06:22 Elapsed time 154.879µs 	     GET 	 /style.css
2020/10/22 21:06:22 Elapsed time 51.98µs 	     GET 	 /favicon.ico
2020/10/22 21:09:43 Simple-HTTP v0.5.0 started to serve 'public' folder on port: 8082
2020/10/22 21:09:46 Elapsed time 6.09782ms 	     GET 	 /
2020/10/22 21:09:46 Elapsed time 212.548µs 	     GET 	 /style.css
2020/10/22 21:09:46 Elapsed time 66.542µs 	     GET 	 /favicon.ico
2020/10/22 21:09:47 Elapsed time 314.779µs 	     GET 	 /
2020/10/22 21:09:47 Elapsed time 192.219µs 	     GET 	 /style.css
2020/10/22 21:09:47 Elapsed time 34.75µs 	     GET 	 /favicon.ico
